name,url,party,state,district,chamber,start,end
"Abercrombie, Neil",https://www.congress.gov/member/neil-abercrombie/A000014,Democratic,Hawaii,1,House,1991,2011
"Abercrombie, Neil",https://www.congress.gov/member/neil-abercrombie/A000014,Democratic,Hawaii,1,House,1985,1987
"Abraham, Ralph Lee",https://www.congress.gov/member/ralph-abraham/A000374,Republican,Louisiana,5,House,2015,inf
"Ackerman, Gary L.",https://www.congress.gov/member/gary-ackerman/A000022,Democratic,New York,5,House,1993,2013
"Ackerman, Gary L.",https://www.congress.gov/member/gary-ackerman/A000022,Democratic,New York,7,House,1983,1993
"Adams, Alma S.",https://www.congress.gov/member/alma-adams/A000370,Democratic,North Carolina,12,House,2014,inf
"Adams, Sandy",https://www.congress.gov/member/sandy-adams/A000366,Republican,Florida,24,House,2011,2013
"Aderholt, Robert B.",https://www.congress.gov/member/robert-aderholt/A000055,Republican,Alabama,4,House,1997,inf
"Adler, John H.",https://www.congress.gov/member/john-adler/A000364,Democratic,New Jersey,3,House,2009,2011
"Aguilar, Pete",https://www.congress.gov/member/pete-aguilar/A000371,Democratic,California,31,House,2015,inf
"Akaka, Daniel K.",https://www.congress.gov/member/daniel-akaka/A000069,Democratic,Hawaii,0,Senate,1990,2013
"Akaka, Daniel K.",https://www.congress.gov/member/daniel-akaka/A000069,Democratic,Hawaii,2,House,1977,1991
"Akin, W. Todd",https://www.congress.gov/member/w-akin/A000358,Republican,Missouri,2,House,2001,2013
"Alexander, Lamar",https://www.congress.gov/member/lamar-alexander/A000360,Republican,Tennessee,N/A,Senate,2003,inf
"Alexander, Rodney",https://www.congress.gov/member/rodney-alexander/A000361,Republican,Louisiana,5,House,2004,2013
"Allen, Rick W.",https://www.congress.gov/member/rick-allen/A000372,Republican,Georgia,12,House,2015,inf
"Allred, Colin Z.",https://www.congress.gov/member/colin-allred/A000376,Democratic,Texas,32,House,2019,inf
"Altmire, Jason",https://www.congress.gov/member/jason-altmire/A000362,Democratic,Pennsylvania,4,House,2007,2013
"Amash, Justin",https://www.congress.gov/member/justin-amash/A000367,Republican,Michigan,3,House,2011,2019
"Amodei, Mark E.",https://www.congress.gov/member/mark-amodei/A000369,Republican,Nevada,2,House,2011,inf
"Andrews, Robert E.",https://www.congress.gov/member/robert-andrews/A000210,Democratic,New Jersey,1,House,1989,2014
"Arcuri, Michael A.",https://www.congress.gov/member/michael-arcuri/A000363,Democratic,New York,24,House,2007,2011
"Armstrong, Kelly",https://www.congress.gov/member/kelly-armstrong/A000377,Republican,North Dakota,At Large,House,2019,inf
"Arrington, Jodey C.",https://www.congress.gov/member/jodey-arrington/A000375,Republican,Texas,19,House,2017,inf
"Ashford, Brad",https://www.congress.gov/member/brad-ashford/A000373,Democratic,Nebraska,2,House,2015,2017
"Austria, Steve",https://www.congress.gov/member/steve-austria/A000365,Republican,Ohio,7,House,2009,2013
"Axne, Cynthia",https://www.congress.gov/member/cynthia-axne/A000378,Democratic,Iowa,3,House,2019,inf
"Ayotte, Kelly",https://www.congress.gov/member/kelly-ayotte/A000368,Republican,New Hampshire,N/A,Senate,2011,2017
"Babin, Brian",https://www.congress.gov/member/brian-babin/B001291,Republican,Texas,36,House,2015,inf
"Baca, Joe",https://www.congress.gov/member/joe-baca/B001234,Democratic,California,43,House,2003,2013
"Baca, Joe",https://www.congress.gov/member/joe-baca/B001234,Democratic,California,42,House,1999,2003
"Bachmann, Michele",https://www.congress.gov/member/michele-bachmann/B001256,Republican,Minnesota,6,House,2007,2015
"Bachus, Spencer",https://www.congress.gov/member/spencer-bachus/B000013,Republican,Alabama,6,House,1993,2015
"Bacon, Don",https://www.congress.gov/member/don-bacon/B001298,Republican,Nebraska,2,House,2017,inf
"Baird, Brian",https://www.congress.gov/member/brian-baird/B001229,Democratic,Washington,3,House,1999,2011
"Baird, James R.",https://www.congress.gov/member/james-baird/B001307,Republican,Indiana,4,House,2019,inf
"Balderson, Troy",https://www.congress.gov/member/troy-balderson/B001306,Republican,Ohio,12,House,2018,inf
"Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Democratic,Wisconsin,0,Senate,2013,inf
"Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Democratic,Wisconsin,2,House,1999,2013
"Banks, Jim",https://www.congress.gov/member/jim-banks/B001299,Republican,Indiana,3,House,2017,inf
"Barber, Ron",https://www.congress.gov/member/ron-barber/B001279,Democratic,Arizona,2,House,2013,2015
"Barber, Ron",https://www.congress.gov/member/ron-barber/B001279,Democratic,Arizona,8,House,2012,2013
"Barletta, Lou",https://www.congress.gov/member/lou-barletta/B001269,Republican,Pennsylvania,11,House,2011,2019
"Barr, Andy",https://www.congress.gov/member/andy-barr/B001282,Republican,Kentucky,6,House,2013,inf
"Barragan, Nanette Diaz",https://www.congress.gov/member/nanette-barragan/B001300,Democratic,California,44,House,2017,inf
"Barrasso, John",https://www.congress.gov/member/john-barrasso/B001261,Republican,Wyoming,N/A,Senate,2007,inf
"Barrett, J. Gresham",https://www.congress.gov/member/j-barrett/B001239,Republican,South Carolina,3,House,2003,2011
"Barrow, John",https://www.congress.gov/member/john-barrow/B001252,Democratic,Georgia,12,House,2005,2015
"Bartlett, Roscoe G.",https://www.congress.gov/member/roscoe-bartlett/B000208,Republican,Maryland,6,House,1993,2013
"Barton, Joe",https://www.congress.gov/member/joe-barton/B000213,Republican,Texas,6,House,1985,2019
"Bass, Charles F.",https://www.congress.gov/member/charles-bass/B000220,Republican,New Hampshire,2,House,2011,2013
"Bass, Charles F.",https://www.congress.gov/member/charles-bass/B000220,Republican,New Hampshire,2,House,1995,2007
"Bass, Karen",https://www.congress.gov/member/karen-bass/B001270,Democratic,California,37,House,2013,inf
"Bass, Karen",https://www.congress.gov/member/karen-bass/B001270,Democratic,California,33,House,2011,2013
"Baucus, Max",https://www.congress.gov/member/max-baucus/B000243,Democratic,Montana,0,Senate,1979,2014
"Baucus, Max",https://www.congress.gov/member/max-baucus/B000243,Democratic,Montana,1,House,1975,1979
"Bayh, Evan",https://www.congress.gov/member/evan-bayh/B001233,Democratic,Indiana,N/A,Senate,1999,2011
"Bean, Melissa L.",https://www.congress.gov/member/melissa-bean/B001253,Democratic,Illinois,8,House,2005,2011
"Beatty, Joyce",https://www.congress.gov/member/joyce-beatty/B001281,Democratic,Ohio,3,House,2013,inf
"Becerra, Xavier",https://www.congress.gov/member/xavier-becerra/B000287,Democratic,California,34,House,2013,2017
"Becerra, Xavier",https://www.congress.gov/member/xavier-becerra/B000287,Democratic,California,31,House,2003,2013
"Becerra, Xavier",https://www.congress.gov/member/xavier-becerra/B000287,Democratic,California,30,House,1993,2003
"Begich, Mark",https://www.congress.gov/member/mark-begich/B001265,Democratic,Alaska,N/A,Senate,2009,2015
"Benishek, Dan",https://www.congress.gov/member/dan-benishek/B001271,Republican,Michigan,1,House,2011,2017
"Bennet, Michael F.",https://www.congress.gov/member/michael-bennet/B001267,Democratic,Colorado,N/A,Senate,2009,inf
"Bennett, Robert F.",https://www.congress.gov/member/robert-bennett/B000382,Republican,Utah,N/A,Senate,1993,2011
"Bentivolio, Kerry L.",https://www.congress.gov/member/kerry-bentivolio/B001280,Republican,Michigan,11,House,2013,2015
"Bera, Ami",https://www.congress.gov/member/ami-bera/B001287,Democratic,California,7,House,2013,inf
"Berg, Rick",https://www.congress.gov/member/rick-berg/B001272,Republican,North Dakota,At Large,House,2011,2013
"Bergman, Jack",https://www.congress.gov/member/jack-bergman/B001301,Republican,Michigan,1,House,2017,inf
"Berkley, Shelley",https://www.congress.gov/member/shelley-berkley/B001231,Democratic,Nevada,1,House,1999,2013
"Berman, Howard L.",https://www.congress.gov/member/howard-berman/B000410,Democratic,California,28,House,2003,2013
"Berman, Howard L.",https://www.congress.gov/member/howard-berman/B000410,Democratic,California,26,House,1983,2003
"Berry, Marion",https://www.congress.gov/member/marion-berry/B000420,Democratic,Arkansas,1,House,1997,2011
"Beyer, Donald S., Jr.",https://www.congress.gov/member/donald-beyer/B001292,Democratic,Virginia,8,House,2015,inf
"Biden, Joseph R., Jr.",https://www.congress.gov/member/joseph-biden/B000444,Democratic,Delaware,N/A,Senate,1973,2009
"Biggert, Judy",https://www.congress.gov/member/judy-biggert/B001232,Republican,Illinois,13,House,1999,2013
"Biggs, Andy",https://www.congress.gov/member/andy-biggs/B001302,Republican,Arizona,5,House,2017,inf
"Bilbray, Brian P.",https://www.congress.gov/member/brian-bilbray/B000461,Republican,California,50,House,2005,2013
"Bilbray, Brian P.",https://www.congress.gov/member/brian-bilbray/B000461,Republican,California,49,House,1995,2001
"Bilirakis, Gus M.",https://www.congress.gov/member/gus-bilirakis/B001257,Republican,Florida,12,House,2013,inf
"Bilirakis, Gus M.",https://www.congress.gov/member/gus-bilirakis/B001257,Republican,Florida,9,House,2007,2013
