,name,url,state,district,party,chamber,term-start,term-end
0,"Abercrombie, Neil",https://www.congress.gov/member/neil-abercrombie/A000014,Hawaii,1,Democratic,House,1985,1987
1,"Abercrombie, Neil",https://www.congress.gov/member/neil-abercrombie/A000014,Hawaii,1,Democratic,House,1991,2011
2,"Abraham, Ralph Lee",https://www.congress.gov/member/ralph-abraham/A000374,Louisiana,5,Republican,House,2015,
3,"Ackerman, Gary L.",https://www.congress.gov/member/gary-ackerman/A000022,New York,5,Democratic,House,1983,2013
4,"Adams, Alma S.",https://www.congress.gov/member/alma-adams/A000370,North Carolina,12,Democratic,House,2014,
5,"Adams, Sandy",https://www.congress.gov/member/sandy-adams/A000366,Florida,24,Republican,House,2011,2013
6,"Aderholt, Robert B.",https://www.congress.gov/member/robert-aderholt/A000055,Alabama,4,Republican,House,1997,
7,"Adler, John H.",https://www.congress.gov/member/john-adler/A000364,New Jersey,3,Democratic,House,2009,2011
8,"Aguilar, Pete",https://www.congress.gov/member/pete-aguilar/A000371,California,31,Democratic,House,2015,
9,"Akaka, Daniel K.",https://www.congress.gov/member/daniel-akaka/A000069,Hawaii,N/A,Democratic,Senate,1990,2013
10,"Akaka, Daniel K.",https://www.congress.gov/member/daniel-akaka/A000069,Hawaii,Missing,Democratic,House,1977,1991
11,"Akin, W. Todd",https://www.congress.gov/member/w-akin/A000358,Missouri,2,Republican,House,2001,2013
12,"Alexander, Lamar",https://www.congress.gov/member/lamar-alexander/A000360,Tennessee,N/A,Republican,Senate,2003,
13,"Alexander, Rodney",https://www.congress.gov/member/rodney-alexander/A000361,Louisiana,5,Republican,House,2003,2013
14,"Allen, Rick W.",https://www.congress.gov/member/rick-allen/A000372,Georgia,12,Republican,House,2015,
15,"Allred, Colin Z.",https://www.congress.gov/member/colin-allred/A000376,Texas,32,Democratic,House,2019,
16,"Altmire, Jason",https://www.congress.gov/member/jason-altmire/A000362,Pennsylvania,4,Democratic,House,2007,2013
17,"Amash, Justin",https://www.congress.gov/member/justin-amash/A000367,Michigan,3,Independent,House,2011,
18,"Amodei, Mark E.",https://www.congress.gov/member/mark-amodei/A000369,Nevada,2,Republican,House,2011,
19,"Andrews, Robert E.",https://www.congress.gov/member/robert-andrews/A000210,New Jersey,1,Democratic,House,1989,2014
20,"Arcuri, Michael A.",https://www.congress.gov/member/michael-arcuri/A000363,New York,24,Democratic,House,2007,2011
21,"Armstrong, Kelly",https://www.congress.gov/member/kelly-armstrong/A000377,North Dakota,Missing,Republican,House,2019,
22,"Arrington, Jodey C.",https://www.congress.gov/member/jodey-arrington/A000375,Texas,19,Republican,House,2017,
23,"Ashford, Brad",https://www.congress.gov/member/brad-ashford/A000373,Nebraska,2,Democratic,House,2015,2017
24,"Austria, Steve",https://www.congress.gov/member/steve-austria/A000365,Ohio,7,Republican,House,2009,2013
