CONGRESSIONAL_DISTRICT,ORGANIZATION_STATE,DEPARTMENT,AGENCY,FY,FY_TOTAL_COST,CD
0,AK,NSF,NSF,2010,770202.5820895522,AK-AL
0,AS,NSF,NSF,2010,25504.0,AS-AL
0,CA,NSF,NSF,2010,577997.6666666666,CA-AL
0,CO,NSF,NSF,2010,9750.0,CO-AL
0,CT,NSF,NSF,2010,195930.0,CT-AL
0,DC,NSF,NSF,2010,2618425.689814815,DC-AL
0,DE,NSF,NSF,2010,320511.2469135802,DE-AL
0,FL,NSF,NSF,2010,219201.44444444444,FL-AL
0,GU,NSF,NSF,2010,55878.0,GU-AL
0,HI,NSF,NSF,2010,1030124.0,HI-AL
0,IA,NSF,NSF,2010,128889.33333333333,IA-AL
0,ID,NSF,NSF,2010,445923.8,ID-AL
0,KY,NSF,NSF,2010,189084.97727272726,KY-AL
0,MA,NSF,NSF,2010,149304.0,MA-AL
0,MI,NSF,NSF,2010,144667.5,MI-AL
0,MT,NSF,NSF,2010,358584.43636363634,MT-AL
0,ND,NSF,NSF,2010,325838.3888888889,ND-AL
0,OH,NSF,NSF,2010,149990.0,OH-AL
0,PR,NSF,NSF,2010,534808.9166666666,PR-AL
0,RI,NSF,NSF,2010,12220.75,RI-AL
0,SD,NSF,NSF,2010,344095.3823529412,SD-AL
0,VA,NSF,NSF,2010,172285.84615384616,VA-AL
0,VI,NSF,NSF,2010,512720.0,VI-AL
0,VT,NSF,NSF,2010,345008.0416666667,VT-AL
0,WY,NSF,NSF,2010,261322.47368421053,WY-AL
1,AL,NSF,NSF,2010,165715.11111111112,AL-01
1,AR,NSF,NSF,2010,296822.0,AR-01
1,AZ,NSF,NSF,2010,272058.1379310345,AZ-01
1,CA,NSF,NSF,2010,305121.125,CA-01
1,CO,NSF,NSF,2010,200726.25,CO-01
1,CT,NSF,NSF,2010,253821.375,CT-01
1,DC,NSF,NSF,2010,259013.0,DC-01
1,FL,NSF,NSF,2010,325124.5,FL-01
1,GA,NSF,NSF,2010,359524.0,GA-01
1,HI,NSF,NSF,2010,418907.62637362635,HI-01
1,ID,NSF,NSF,2010,470367.5625,ID-01
1,IL,NSF,NSF,2010,280282.6621621622,IL-01
1,IN,NSF,NSF,2010,181319.33333333334,IN-01
1,KS,NSF,NSF,2010,170000.0,KS-01
1,KY,NSF,NSF,2010,240000.0,KY-01
1,LA,NSF,NSF,2010,5617.0,LA-01
1,MA,NSF,NSF,2010,266991.51515151514,MA-01
1,MD,NSF,NSF,2010,411663.9583333333,MD-01
1,ME,NSF,NSF,2010,495966.9166666667,ME-01
1,MI,NSF,NSF,2010,268954.3947368421,MI-01
1,MN,NSF,NSF,2010,168096.66666666666,MN-01
1,MO,NSF,NSF,2010,220793.13636363635,MO-01
1,MS,NSF,NSF,2010,394444.0,MS-01
1,NC,NSF,NSF,2010,358982.25,NC-01
1,NE,NSF,NSF,2010,580324.3396226416,NE-01
1,NH,NSF,NSF,2010,297450.70588235295,NH-01
1,NJ,NSF,NSF,2010,235648.53333333333,NJ-01
1,NM,NSF,NSF,2010,310255.02857142856,NM-01
1,NV,NSF,NSF,2010,313897.1538461539,NV-01
1,NY,NSF,NSF,2010,308673.78571428574,NY-01
1,OH,NSF,NSF,2010,256586.59375,OH-01
1,OK,NSF,NSF,2010,162965.25,OK-01
1,OR,NSF,NSF,2010,313128.86666666664,OR-01
1,PA,NSF,NSF,2010,186243.7931034483,PA-01
1,RI,NSF,NSF,2010,364131.4210526316,RI-01
1,SC,NSF,NSF,2010,215230.8947368421,SC-01
1,TN,NSF,NSF,2010,464310.5,TN-01
1,TX,NSF,NSF,2010,357892.14285714284,TX-01
1,UT,NSF,NSF,2010,205162.75675675675,UT-01
1,VA,NSF,NSF,2010,253045.85714285713,VA-01
1,WA,NSF,NSF,2010,532435.0,WA-01
1,WI,NSF,NSF,2010,184338.0,WI-01
1,WV,NSF,NSF,2010,351572.5789473684,WV-01
2,AL,NSF,NSF,2010,95831.5,AL-02
2,AR,NSF,NSF,2010,673428.0555555555,AR-02
2,CA,NSF,NSF,2010,165948.5,CA-02
2,CO,NSF,NSF,2010,553175.3970588235,CO-02
2,CT,NSF,NSF,2010,280251.36363636365,CT-02
2,FL,NSF,NSF,2010,596202.6461538462,FL-02
2,GA,NSF,NSF,2010,322000.0,GA-02
2,HI,NSF,NSF,2010,399298.1111111111,HI-02
2,IA,NSF,NSF,2010,306108.88,IA-02
2,ID,NSF,NSF,2010,385119.23529411765,ID-02
2,IL,NSF,NSF,2010,595345.4,IL-02
2,IN,NSF,NSF,2010,306150.55555555556,IN-02
2,KS,NSF,NSF,2010,364250.64705882355,KS-02
2,KY,NSF,NSF,2010,184698.44444444444,KY-02
2,LA,NSF,NSF,2010,224368.4375,LA-02
2,MA,NSF,NSF,2010,203948.3076923077,MA-02
2,MD,NSF,NSF,2010,528006.5,MD-02
2,ME,NSF,NSF,2010,422239.4411764706,ME-02
2,MI,NSF,NSF,2010,255084.14285714287,MI-02
2,MN,NSF,NSF,2010,476499.14285714284,MN-02
2,MS,NSF,NSF,2010,430072.375,MS-02
2,NC,NSF,NSF,2010,329470.1666666667,NC-02
2,NE,NSF,NSF,2010,198058.0,NE-02
2,NH,NSF,NSF,2010,305854.6923076923,NH-02
2,NJ,NSF,NSF,2010,109363.0,NJ-02
2,NM,NSF,NSF,2010,467805.55,NM-02
2,NV,NSF,NSF,2010,291408.25925925927,NV-02
2,NY,NSF,NSF,2010,491160.3846153846,NY-02
2,OK,NSF,NSF,2010,549624.5,OK-02
2,OR,NSF,NSF,2010,334113.25,OR-02
2,PA,NSF,NSF,2010,367501.1384615385,PA-02
2,RI,NSF,NSF,2010,615881.8,RI-02
2,SC,NSF,NSF,2010,231281.83333333334,SC-02
2,TN,NSF,NSF,2010,390794.35714285716,TN-02
2,TX,NSF,NSF,2010,245264.0,TX-02
2,UT,NSF,NSF,2010,289084.6567164179,UT-02
2,VA,NSF,NSF,2010,405253.5,VA-02
2,WA,NSF,NSF,2010,468693.8888888889,WA-02
2,WI,NSF,NSF,2010,291215.9731182796,WI-02
2,WV,NSF,NSF,2010,2588235.0,WV-02
3,AL,NSF,NSF,2010,317121.05555555556,AL-03
3,AR,NSF,NSF,2010,262830.5641025641,AR-03
3,AZ,NSF,NSF,2010,58677.333333333336,AZ-03
3,CO,NSF,NSF,2010,337313.4,CO-03
3,CT,NSF,NSF,2010,243704.5754716981,CT-03
3,FL,NSF,NSF,2010,189775.66666666666,FL-03
3,GA,NSF,NSF,2010,43228.0,GA-03
3,IA,NSF,NSF,2010,128270.0,IA-03
3,IL,NSF,NSF,2010,969084.3333333334,IL-03
3,KS,NSF,NSF,2010,386253.320754717,KS-03
3,KY,NSF,NSF,2010,361256.7,KY-03
3,LA,NSF,NSF,2010,110934.85714285714,LA-03
3,MA,NSF,NSF,2010,252860.10714285713,MA-03
3,MD,NSF,NSF,2010,247706.18181818182,MD-03
3,MI,NSF,NSF,2010,333055.8333333333,MI-03
3,MN,NSF,NSF,2010,149903.5,MN-03
3,MO,NSF,NSF,2010,252832.8245614035,MO-03
3,MS,NSF,NSF,2010,450349.75,MS-03
3,NC,NSF,NSF,2010,97773.28571428571,NC-03
3,NE,NSF,NSF,2010,374400.0,NE-03
3,NJ,NSF,NSF,2010,10000.0,NJ-03
3,NM,NSF,NSF,2010,622243.6842105263,NM-03
3,NY,NSF,NSF,2010,40308.5,NY-03
3,OH,NSF,NSF,2010,255049.85714285713,OH-03
3,OK,NSF,NSF,2010,182137.72,OK-03
3,OR,NSF,NSF,2010,339452.48148148146,OR-03
3,PA,NSF,NSF,2010,248601.75,PA-03
3,SC,NSF,NSF,2010,297505.8823529412,SC-03
3,TN,NSF,NSF,2010,111465.0,TN-03
3,TX,NSF,NSF,2010,279583.0,TX-03
3,UT,NSF,NSF,2010,221865.5185185185,UT-03
3,VA,NSF,NSF,2010,286059.0540540541,VA-03
3,WA,NSF,NSF,2010,310789.0,WA-03
3,WI,NSF,NSF,2010,334694.6666666667,WI-03
3,WV,NSF,NSF,2010,336929.0,WV-03
4,AL,NSF,NSF,2010,1713314.0,AL-04
4,AR,NSF,NSF,2010,132884.33333333334,AR-04
4,CA,NSF,NSF,2010,150000.0,CA-04
4,CO,NSF,NSF,2010,330371.61176470586,CO-04
4,CT,NSF,NSF,2010,205989.0,CT-04
4,FL,NSF,NSF,2010,104047.0,FL-04
4,GA,NSF,NSF,2010,189682.84,GA-04
4,IA,NSF,NSF,2010,329598.75,IA-04
4,IL,NSF,NSF,2010,311571.5,IL-04
4,IN,NSF,NSF,2010,346653.47852760734,IN-04
4,KS,NSF,NSF,2010,88830.0,KS-04
4,KY,NSF,NSF,2010,230026.6,KY-04
4,LA,NSF,NSF,2010,240737.66666666666,LA-04
4,MA,NSF,NSF,2010,318789.9756097561,MA-04
4,MD,NSF,NSF,2010,381561.25,MD-04
4,MI,NSF,NSF,2010,257178.33333333334,MI-04
4,MN,NSF,NSF,2010,175185.95652173914,MN-04
4,MO,NSF,NSF,2010,487286.6666666667,MO-04
4,NC,NSF,NSF,2010,339646.7962962963,NC-04
4,NJ,NSF,NSF,2010,5617.0,NJ-04
4,NY,NSF,NSF,2010,182490.5,NY-04
4,OH,NSF,NSF,2010,63658.0,OH-04
4,OK,NSF,NSF,2010,305979.5681818182,OK-04
4,OR,NSF,NSF,2010,291885.51785714284,OR-04
4,PA,NSF,NSF,2010,156326.0,PA-04
4,SC,NSF,NSF,2010,77373.0,SC-04
4,TN,NSF,NSF,2010,319554.0,TN-04
4,VA,NSF,NSF,2010,382021.3333333333,VA-04
4,WA,NSF,NSF,2010,303815.9,WA-04
4,WI,NSF,NSF,2010,303093.9,WI-04
5,AL,NSF,NSF,2010,398672.14285714284,AL-05
5,AZ,NSF,NSF,2010,292173.8032786885,AZ-05
5,CA,NSF,NSF,2010,635786.0,CA-05
5,CO,NSF,NSF,2010,161745.66666666666,CO-05
5,CT,NSF,NSF,2010,251096.125,CT-05
5,FL,NSF,NSF,2010,5617.0,FL-05
5,GA,NSF,NSF,2010,315172.0232558139,GA-05
5,IL,NSF,NSF,2010,85141.0,IL-05
