CONGRESSIONAL_DISTRICT,ORGANIZATION_STATE,DEPARTMENT,AGENCY,FY,FY_TOTAL_COST,CD
0,AK,NSF,NSF,2010,51603573.0,AK-AL
0,AS,NSF,NSF,2010,25504.0,AS-AL
0,CA,NSF,NSF,2010,1733993.0,CA-AL
0,CO,NSF,NSF,2010,19500.0,CO-AL
0,CT,NSF,NSF,2010,2547090.0,CT-AL
0,DC,NSF,NSF,2010,565579949.0,DC-AL
0,DE,NSF,NSF,2010,25961411.0,DE-AL
0,FL,NSF,NSF,2010,1972813.0,FL-AL
0,GU,NSF,NSF,2010,55878.0,GU-AL
0,HI,NSF,NSF,2010,1030124.0,HI-AL
0,IA,NSF,NSF,2010,386668.0,IA-AL
0,ID,NSF,NSF,2010,2229619.0,ID-AL
0,KY,NSF,NSF,2010,8319739.0,KY-AL
0,MA,NSF,NSF,2010,149304.0,MA-AL
0,MI,NSF,NSF,2010,289335.0,MI-AL
0,MT,NSF,NSF,2010,19722144.0,MT-AL
0,ND,NSF,NSF,2010,11730182.0,ND-AL
0,OH,NSF,NSF,2010,149990.0,OH-AL
0,PR,NSF,NSF,2010,19253121.0,PR-AL
0,RI,NSF,NSF,2010,684362.0,RI-AL
0,SD,NSF,NSF,2010,11699243.0,SD-AL
0,VA,NSF,NSF,2010,2239716.0,VA-AL
0,VI,NSF,NSF,2010,512720.0,VI-AL
0,VT,NSF,NSF,2010,8280193.0,VT-AL
0,WY,NSF,NSF,2010,9930254.0,WY-AL
1,AL,NSF,NSF,2010,1491436.0,AL-01
1,AR,NSF,NSF,2010,1484110.0,AR-01
1,AZ,NSF,NSF,2010,7889686.0,AZ-01
1,CA,NSF,NSF,2010,39055504.0,CA-01
1,CO,NSF,NSF,2010,3211620.0,CO-01
1,CT,NSF,NSF,2010,2030571.0,CT-01
1,DC,NSF,NSF,2010,1554078.0,DC-01
1,FL,NSF,NSF,2010,650249.0,FL-01
1,GA,NSF,NSF,2010,3235716.0,GA-01
1,HI,NSF,NSF,2010,38120594.0,HI-01
1,ID,NSF,NSF,2010,7525881.0,ID-01
1,IL,NSF,NSF,2010,41481834.0,IL-01
1,IN,NSF,NSF,2010,543958.0,IN-01
1,KS,NSF,NSF,2010,170000.0,KS-01
1,KY,NSF,NSF,2010,240000.0,KY-01
1,LA,NSF,NSF,2010,5617.0,LA-01
1,MA,NSF,NSF,2010,26432160.0,MA-01
1,MD,NSF,NSF,2010,9879935.0,MD-01
1,ME,NSF,NSF,2010,11903206.0,ME-01
1,MI,NSF,NSF,2010,10220267.0,MI-01
1,MN,NSF,NSF,2010,1008580.0,MN-01
1,MO,NSF,NSF,2010,4857449.0,MO-01
1,MS,NSF,NSF,2010,3549996.0,MS-01
1,NC,NSF,NSF,2010,1435929.0,NC-01
1,NE,NSF,NSF,2010,30757190.0,NE-01
1,NH,NSF,NSF,2010,10113324.0,NH-01
1,NJ,NSF,NSF,2010,3534728.0,NJ-01
1,NM,NSF,NSF,2010,21717852.0,NM-01
1,NV,NSF,NSF,2010,4080663.0,NV-01
1,NY,NSF,NSF,2010,21607165.0,NY-01
1,OH,NSF,NSF,2010,8210771.0,OH-01
1,OK,NSF,NSF,2010,651861.0,OK-01
1,OR,NSF,NSF,2010,4696933.0,OR-01
1,PA,NSF,NSF,2010,5401070.0,PA-01
1,RI,NSF,NSF,2010,27673988.0,RI-01
1,SC,NSF,NSF,2010,4089387.0,SC-01
1,TN,NSF,NSF,2010,2785863.0,TN-01
1,TX,NSF,NSF,2010,2505245.0,TX-01
1,UT,NSF,NSF,2010,7591022.0,UT-01
1,VA,NSF,NSF,2010,7085284.0,VA-01
1,WA,NSF,NSF,2010,3194610.0,WA-01
1,WI,NSF,NSF,2010,368676.0,WI-01
1,WV,NSF,NSF,2010,6679879.0,WV-01
2,AL,NSF,NSF,2010,191663.0,AL-02
2,AR,NSF,NSF,2010,12121705.0,AR-02
2,CA,NSF,NSF,2010,663794.0,CA-02
2,CO,NSF,NSF,2010,112847781.0,CO-02
2,CT,NSF,NSF,2010,18496590.0,CT-02
2,FL,NSF,NSF,2010,38753172.0,FL-02
2,GA,NSF,NSF,2010,322000.0,GA-02
2,HI,NSF,NSF,2010,3593683.0,HI-02
2,IA,NSF,NSF,2010,15305444.0,IA-02
2,ID,NSF,NSF,2010,6547027.0,ID-02
2,IL,NSF,NSF,2010,2976727.0,IL-02
2,IN,NSF,NSF,2010,16532130.0,IN-02
2,KS,NSF,NSF,2010,12384522.0,KS-02
2,KY,NSF,NSF,2010,1662286.0,KY-02
2,LA,NSF,NSF,2010,10769685.0,LA-02
2,MA,NSF,NSF,2010,2651328.0,MA-02
2,MD,NSF,NSF,2010,1056013.0,MD-02
2,ME,NSF,NSF,2010,14356141.0,ME-02
2,MI,NSF,NSF,2010,3571178.0,MI-02
2,MN,NSF,NSF,2010,3335494.0,MN-02
2,MS,NSF,NSF,2010,6881158.0,MS-02
2,NC,NSF,NSF,2010,1976821.0,NC-02
2,NE,NSF,NSF,2010,594174.0,NE-02
2,NH,NSF,NSF,2010,11928333.0,NH-02
2,NJ,NSF,NSF,2010,218726.0,NJ-02
2,NM,NSF,NSF,2010,9356111.0,NM-02
2,NV,NSF,NSF,2010,7868023.0,NV-02
2,NY,NSF,NSF,2010,6385085.0,NY-02
2,OK,NSF,NSF,2010,1099249.0,OK-02
2,OR,NSF,NSF,2010,1336453.0,OR-02
2,PA,NSF,NSF,2010,47775148.0,PA-02
2,RI,NSF,NSF,2010,12317636.0,RI-02
2,SC,NSF,NSF,2010,1387691.0,SC-02
2,TN,NSF,NSF,2010,21884484.0,TN-02
2,TX,NSF,NSF,2010,1226320.0,TX-02
2,UT,NSF,NSF,2010,19368672.0,UT-02
2,VA,NSF,NSF,2010,810507.0,VA-02
2,WA,NSF,NSF,2010,4218245.0,WA-02
2,WI,NSF,NSF,2010,54166171.0,WI-02
2,WV,NSF,NSF,2010,5176470.0,WV-02
3,AL,NSF,NSF,2010,11416358.0,AL-03
3,AR,NSF,NSF,2010,10250392.0,AR-03
3,AZ,NSF,NSF,2010,176032.0,AZ-03
3,CO,NSF,NSF,2010,3373134.0,CO-03
3,CT,NSF,NSF,2010,25832685.0,CT-03
3,FL,NSF,NSF,2010,1138654.0,FL-03
3,GA,NSF,NSF,2010,43228.0,GA-03
3,IA,NSF,NSF,2010,256540.0,IA-03
3,IL,NSF,NSF,2010,2907253.0,IL-03
3,KS,NSF,NSF,2010,20471426.0,KS-03
3,KY,NSF,NSF,2010,3612567.0,KY-03
3,LA,NSF,NSF,2010,776544.0,LA-03
3,MA,NSF,NSF,2010,7080083.0,MA-03
3,MD,NSF,NSF,2010,2724768.0,MD-03
3,MI,NSF,NSF,2010,1998335.0,MI-03
3,MN,NSF,NSF,2010,299807.0,MN-03
3,MO,NSF,NSF,2010,14411471.0,MO-03
3,MS,NSF,NSF,2010,10808394.0,MS-03
3,NC,NSF,NSF,2010,684413.0,NC-03
3,NE,NSF,NSF,2010,374400.0,NE-03
3,NJ,NSF,NSF,2010,10000.0,NJ-03
3,NM,NSF,NSF,2010,11822630.0,NM-03
3,NY,NSF,NSF,2010,80617.0,NY-03
3,OH,NSF,NSF,2010,1785349.0,OH-03
3,OK,NSF,NSF,2010,4553443.0,OK-03
3,OR,NSF,NSF,2010,9165217.0,OR-03
3,PA,NSF,NSF,2010,994407.0,PA-03
3,SC,NSF,NSF,2010,15172800.0,SC-03
3,TN,NSF,NSF,2010,557325.0,TN-03
3,TX,NSF,NSF,2010,1397915.0,TX-03
3,UT,NSF,NSF,2010,5990369.0,UT-03
3,VA,NSF,NSF,2010,10584185.0,VA-03
3,WA,NSF,NSF,2010,621578.0,WA-03
3,WI,NSF,NSF,2010,2008168.0,WI-03
3,WV,NSF,NSF,2010,2358503.0,WV-03
4,AL,NSF,NSF,2010,1713314.0,AL-04
